"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2017",33.30194,
"NZL","EDUEXPTRY","HH","PC_EDUEXP","A","2018",32.27697,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2012",3.293702,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2013",3.415701,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2014",3.491395,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2015",3.839613,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2016",3.492168,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2017",3.973432,
"NOR","EDUEXPTRY","HH","PC_EDUEXP","A","2018",3.766532,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2005",26.01591,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2008",23.4951,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2009",22.54164,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2010",21.8244,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2011",23.8429,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",19.33882,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",17.05992,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2014",15.76447,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",14.05212,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",15.73391,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2017",14.88831,
"POL","EDUEXPTRY","HH","PC_EDUEXP","A","2018",14.42333,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2008",6.615318,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2009",7.406915,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2010",6.642091,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2011",1.847394,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",2.182184,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",1.911044,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",2.130824,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",2.123391,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",2.66317,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",3.624793,
"POL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",5.522387,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2012",32.16301,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2013",29.3991,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2014",28.60262,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2015",26.06713,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2016",27.84863,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2017",28.99885,
"PRT","EDUEXPTRY","HH","PC_EDUEXP","A","2018",27.862,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",9.897951,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",8.848092,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",5.659674,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",5.519337,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",3.741936,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",3.874444,
"PRT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",3.901161,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2012",13.52397,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2013",13.01285,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2014",11.36782,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2015",10.4623,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2016",16.38752,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2017",14.64147,
"SVK","EDUEXPTRY","HH","PC_EDUEXP","A","2018",14.69813,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",12.18276,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",11.48541,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",11.04783,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",9.313937,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",11.92654,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",14.29247,
"SVK","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",14.56619,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2012",22.62269,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2013",26.99304,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2014",27.66081,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2015",28.79221,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2016",29.17586,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2017",28.76374,
"ESP","EDUEXPTRY","HH","PC_EDUEXP","A","2018",30.77025,
"ESP","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",3.914681,
